,latitude,longitude,depth,place
391996,35.326,6.121,10.0,northern Algeria
392283,36.358,1.575,10.0,northern Algeria
413870,36.583,1.159,5.0,northern Algeria
425353,33.523,0.909,10.0,northern Algeria
425461,36.666,1.525,10.0,northern Algeria
425511,36.298,1.854,10.0,northern Algeria
426054,36.061,1.628,10.0,northern Algeria
431063,36.747,3.333,10.0,northern Algeria
435226,35.964,1.374,10.0,northern Algeria
439367,35.903,1.439,10.2,northern Algeria
445965,36.011,5.7010000000000005,10.0,northern Algeria
451980,36.788,2.164,10.0,northern Algeria
455623,36.219,3.3680000000000003,10.0,northern Algeria
462760,35.91300000000001,-0.6509999999999999,10.0,northern Algeria
481702,36.121,1.798,10.0,northern Algeria
488079,36.891,4.606,10.0,northern Algeria
495483,35.985,-0.7290000000000001,10.0,northern Algeria
499464,36.742,1.489,10.0,northern Algeria
506386,35.171,5.954,10.0,northern Algeria
507044,36.557,1.721,10.0,northern Algeria
507689,36.739,6.194,10.0,northern Algeria
516564,35.971,2.832,10.0,northern Algeria
518424,36.227,2.705,10.0,northern Algeria
519611,36.356,1.695,9.5,northern Algeria
522922,36.297,1.775,10.0,northern Algeria
523466,36.391,2.648,10.0,northern Algeria
525734,35.56,0.741,10.0,northern Algeria
525735,35.56,0.741,10.0,northern Algeria
530149,36.487,1.286,33.0,northern Algeria
534318,35.966,-0.8140000000000001,10.0,northern Algeria
545494,36.574,1.6469999999999998,10.0,northern Algeria
548441,36.145,2.782,10.0,northern Algeria
558132,36.327,4.485,10.0,northern Algeria
560332,36.788,2.448,5.7,northern Algeria
560334,36.745,2.443,10.0,northern Algeria
560343,36.531,2.492,10.0,northern Algeria
560347,36.828,2.43,10.0,northern Algeria
560374,36.639,2.55,10.0,northern Algeria
560432,36.382,2.661,10.0,northern Algeria
560798,36.53,2.487,10.0,northern Algeria
561651,36.728,2.379,10.0,northern Algeria
561816,36.747,2.399,10.0,northern Algeria
564827,36.567,2.5610000000000004,10.0,northern Algeria
571506,35.817,1.227,10.0,northern Algeria
574566,36.451,2.589,10.0,northern Algeria
575292,36.419,1.727,10.0,northern Algeria
575647,36.106,1.94,10.0,northern Algeria
575746,36.749,2.5340000000000003,10.0,northern Algeria
576315,36.775,2.477,12.4,northern Algeria
576326,36.699,2.5,10.0,northern Algeria
576327,36.64,2.5810000000000004,10.0,northern Algeria
576342,36.713,2.477,10.0,northern Algeria
576345,36.794,2.5,10.0,northern Algeria
577692,36.739,2.528,10.0,northern Algeria
577843,36.609,2.576,10.0,northern Algeria
581198,36.796,6.312,10.0,northern Algeria
581199,36.796,6.312,10.0,northern Algeria
583586,36.578,2.585,33.0,northern Algeria
588909,36.768,2.492,13.5,northern Algeria
589276,36.604,2.551,10.0,northern Algeria
596094,35.775,-1.22,28.8,northern Algeria
596262,35.853,-0.99,10.0,northern Algeria
605197,36.647,2.839,10.0,northern Algeria
605432,36.489,2.912,10.0,northern Algeria
606928,36.679,2.455,10.0,northern Algeria
629357,36.562,3.214,10.0,northern Algeria
633310,35.662,0.417,10.0,northern Algeria
650687,36.545,1.726,10.0,northern Algeria
650834,36.579,1.6769999999999998,10.0,northern Algeria
655852,35.885,-0.394,10.0,northern Algeria
657971,36.726,5.287000000000001,10.0,northern Algeria
675398,36.143,1.945,10.0,northern Algeria
675401,36.166,1.936,10.0,northern Algeria
675430,36.283,1.781,12.1,northern Algeria
675432,36.338,1.911,10.0,northern Algeria
675435,36.361,1.911,10.0,northern Algeria
680586,35.904,-0.319,10.0,northern Algeria
680590,35.855,-0.397,10.0,northern Algeria
684317,36.187,3.048,10.0,northern Algeria
684738,32.953,-0.17,10.0,northern Algeria
705045,36.292,1.503,10.0,northern Algeria
718394,36.908,1.975,10.0,northern Algeria
726944,35.98900000000001,-0.195,10.0,northern Algeria
737382,36.436,5.7639999999999985,10.0,northern Algeria
741806,36.582,5.388,10.0,northern Algeria
748771,35.257,-1.435,10.0,northern Algeria
748774,35.533,-1.585,10.0,northern Algeria
758324,36.337,3.5860000000000003,10.0,northern Algeria
770135,36.74800000000001,2.479,10.0,northern Algeria
773859,36.01,1.845,10.0,northern Algeria
773860,35.952,1.896,16.6,northern Algeria
784916,36.189,1.392,10.0,northern Algeria
790688,36.249,4.018,10.0,northern Algeria
797134,35.771,-0.058,10.0,northern Algeria
805334,36.179,2.814,10.0,northern Algeria
808993,36.706,7.0939999999999985,10.0,northern Algeria
816475,36.676,2.167,10.0,northern Algeria
816520,36.42,2.485,10.0,northern Algeria
830400,36.45,2.88,10.0,northern Algeria
837456,36.609,3.357,10.0,northern Algeria
849288,36.309,1.095,10.0,northern Algeria
849289,36.309,1.095,10.0,northern Algeria
859484,36.473,3.524,10.0,northern Algeria
861383,36.56,3.263,10.0,northern Algeria
861391,36.613,3.28,10.0,northern Algeria
862251,35.687,-0.944,10.9,northern Algeria
868805,36.921,2.443,10.0,northern Algeria
878175,35.52,-0.106,8.7,northern Algeria
878177,35.536,-0.112,10.0,northern Algeria
878179,35.532,-0.16,10.0,northern Algeria
878181,35.451,-0.097,10.0,northern Algeria
878191,35.908,-0.634,10.0,northern Algeria
878209,35.52,-0.115,10.0,northern Algeria
878246,35.477,-0.141,10.0,northern Algeria
878250,35.691,-0.606,10.0,northern Algeria
878253,35.41900000000001,-0.078,10.0,northern Algeria
878295,35.706,-0.272,10.0,northern Algeria
878451,35.759,-0.193,10.0,northern Algeria
878584,35.615,-0.184,10.0,northern Algeria
878813,35.671,-0.166,10.0,northern Algeria
878819,35.423,-0.157,10.0,northern Algeria
878907,35.637,-0.008,10.0,northern Algeria
879082,35.728,-0.242,10.0,northern Algeria
879898,36.065,4.249,10.0,northern Algeria
879912,35.58,-0.129,10.0,northern Algeria
879995,35.761,-0.274,10.0,northern Algeria
880152,35.664,-0.488,10.0,northern Algeria
883818,35.532,-0.202,10.0,northern Algeria
884569,35.648,-0.513,10.0,northern Algeria
884963,35.577,-1.002,10.0,northern Algeria
885172,35.336,-0.017,10.0,northern Algeria
885799,35.381,-0.109,15.2,northern Algeria
885941,35.64,5.7360000000000015,10.0,northern Algeria
886115,35.969,-0.6990000000000001,10.0,northern Algeria
891533,35.527,-0.29100000000000004,8.1,northern Algeria
902976,35.652,-0.66,10.0,northern Algeria
903017,36.557,6.238,10.0,northern Algeria
923709,36.882,2.454,10.0,northern Algeria
924326,35.511,-0.131,10.0,northern Algeria
924785,35.772,-1.79,5.0,northern Algeria
925956,36.045,2.926,10.0,northern Algeria
926428,36.701,1.539,10.0,northern Algeria
926630,36.38800000000001,5.77,10.0,northern Algeria
936434,36.616,5.794,10.0,northern Algeria
939371,36.575,2.43,10.0,northern Algeria
942836,35.773,0.213,10.0,northern Algeria
945580,36.019,3.927,10.0,northern Algeria
946371,35.963,5.357,10.0,northern Algeria
949321,36.863,4.394,33.0,northern Algeria
949937,36.445,1.655,10.0,northern Algeria
953127,35.493,1.527,10.0,northern Algeria
954518,35.688,-0.438,10.0,northern Algeria
956705,36.534,1.5830000000000002,10.0,northern Algeria
957805,35.32,-0.738,10.0,northern Algeria
975973,36.508,4.414,10.0,northern Algeria
984616,35.452,-0.209,10.0,northern Algeria
984654,35.454,0.17600000000000002,10.0,northern Algeria
985656,36.224,4.666,10.0,northern Algeria
986129,35.363,-0.32299999999999995,10.0,northern Algeria
986357,36.932,2.31,33.0,northern Algeria
987270,36.313,2.943,33.0,northern Algeria
990527,35.959,5.596,33.0,northern Algeria
998187,36.328,1.811,10.0,northern Algeria
1006135,36.984,2.8760000000000003,10.0,northern Algeria
1015081,36.454,1.679,10.0,northern Algeria
1026608,36.168,7.411,10.0,northern Algeria
1028741,36.48,1.592,10.0,northern Algeria
1029139,35.5,-0.865,10.0,northern Algeria
1039859,36.613,5.332999999999998,10.0,northern Algeria
1049934,35.933,5.045,33.0,northern Algeria
1051945,35.944,1.167,10.0,northern Algeria
1052877,35.875,3.803,10.0,northern Algeria
1053972,36.986,0.982,33.0,northern Algeria
1055547,36.885,1.618,10.0,northern Algeria
1057180,36.813,1.375,10.0,northern Algeria
1057866,36.671,1.606,10.0,northern Algeria
1072339,36.875,5.482,10.0,northern Algeria
1073767,36.589,1.598,10.0,northern Algeria
1079936,36.224,6.0120000000000005,33.0,northern Algeria
1081197,35.882,-0.252,10.0,northern Algeria
1082697,35.609,1.396,10.0,northern Algeria
1093176,36.201,1.645,10.0,northern Algeria
1102333,35.65,-1.31,0.0,northern Algeria
1106482,35.88,-1.65,1.3,northern Algeria
1108928,36.39,3.157,10.0,northern Algeria
1109332,35.835,3.502,10.0,northern Algeria
1110055,35.524,-0.097,10.0,northern Algeria
1118842,35.89,-1.62,0.0,northern Algeria
