,latitude,longitude,depth,place
1490627,36.77,3.672,10.0,northern Algeria
1490629,36.767,3.786,10.0,northern Algeria
1490636,36.972,3.811,10.0,northern Algeria
1490647,36.967,3.773,10.0,northern Algeria
1490656,36.942,4.0310000000000015,10.0,northern Algeria
1490658,36.919,3.952,10.0,northern Algeria
1490662,36.972,3.761,10.0,northern Algeria
1490669,36.778,3.708,10.0,northern Algeria
1490670,36.857,3.876,10.0,northern Algeria
1490674,36.694,3.992,10.0,northern Algeria
1490681,36.882,3.971,10.0,northern Algeria
1490695,36.626,3.6010000000000004,10.0,northern Algeria
1490726,36.707,3.567,10.0,northern Algeria
1490733,36.834,3.702,10.0,northern Algeria
1490736,36.929,4.113,10.0,northern Algeria
1490757,36.839,3.525,10.0,northern Algeria
1490768,36.87300000000001,3.975,10.0,northern Algeria
1490789,36.784,3.625,10.0,northern Algeria
1490794,36.908,3.643,10.0,northern Algeria
1490819,36.847,3.637,10.0,northern Algeria
1490853,36.467,3.661,10.0,northern Algeria
1490857,36.896,3.805,10.0,northern Algeria
1490880,36.707,3.938,10.0,northern Algeria
1490890,36.715,3.602,10.0,northern Algeria
1490892,36.881,3.817,10.0,northern Algeria
1490932,36.828,3.927,10.0,northern Algeria
1490957,36.804,4.059,10.0,northern Algeria
1490960,36.699,3.917,10.0,northern Algeria
1491011,36.789,3.85,10.0,northern Algeria
1491043,36.789,4.069,10.0,northern Algeria
1491095,36.29,4.043,10.0,northern Algeria
1491141,36.778,3.343,10.0,northern Algeria
1491143,36.705,3.627,10.0,northern Algeria
1491191,36.907,3.684,10.0,northern Algeria
1491198,36.72,3.633,10.0,northern Algeria
1491212,36.901,3.933,10.0,northern Algeria
1491215,36.875,3.992,10.0,northern Algeria
1491220,36.969,3.818,10.0,northern Algeria
1491250,36.969,3.755,10.0,northern Algeria
1491287,36.844,3.489,10.0,northern Algeria
1491290,36.801,3.648,10.0,northern Algeria
1491407,36.885,3.719,10.0,northern Algeria
1491435,36.826,3.949,10.0,northern Algeria
1491475,36.784,3.6010000000000004,10.0,northern Algeria
1491511,36.947,3.478,10.0,northern Algeria
1491514,36.695,4.105,10.0,northern Algeria
1491534,36.512,3.791,10.0,northern Algeria
1491540,36.994,3.502,10.0,northern Algeria
1491571,36.931,3.683,10.0,northern Algeria
1491609,36.969,3.761,10.0,northern Algeria
1491635,36.923,3.647,10.0,northern Algeria
1491673,36.841,3.935,10.0,northern Algeria
1491733,36.962,3.606,10.0,northern Algeria
1491772,36.872,3.515,10.0,northern Algeria
1491775,36.617,3.713,10.0,northern Algeria
1491785,36.903,3.4530000000000003,10.0,northern Algeria
1491794,36.659,3.755,10.0,northern Algeria
1491861,36.908,3.758,10.0,northern Algeria
1491863,36.912,3.569,10.0,northern Algeria
1491875,36.916,3.759,10.0,northern Algeria
1491886,36.832,3.671,10.0,northern Algeria
1491894,36.851,3.913,10.0,northern Algeria
1491965,36.862,3.695,10.0,northern Algeria
1492056,36.939,3.5780000000000003,8.0,northern Algeria
1492060,36.894,3.739,10.0,northern Algeria
1492061,36.752,3.712,10.0,northern Algeria
1492064,36.92,3.638,10.0,northern Algeria
1492065,36.991,3.78,10.0,northern Algeria
1492066,36.854,4.067,10.0,northern Algeria
1492070,36.784,3.837,10.0,northern Algeria
1492072,36.767,3.789,10.0,northern Algeria
1492080,36.952,3.805,10.0,northern Algeria
1492083,36.826,3.765,10.0,northern Algeria
1492091,36.865,3.773,10.0,northern Algeria
1492100,36.719,3.661,10.0,northern Algeria
1492106,36.62300000000001,3.814,10.0,northern Algeria
1492124,36.725,3.716,10.0,northern Algeria
1492129,36.749,3.737,10.0,northern Algeria
1492130,36.933,3.722,10.0,northern Algeria
1492132,36.937,3.85,10.0,northern Algeria
1492143,36.877,3.713,10.0,northern Algeria
1492175,36.928,3.801,10.0,northern Algeria
1492176,36.87,3.763,10.0,northern Algeria
1492198,36.738,3.656,10.0,northern Algeria
1492231,36.877,3.274,10.0,northern Algeria
1492281,36.97,3.592,10.0,northern Algeria
1492322,36.774,3.733,10.0,northern Algeria
1492357,36.881,3.839,10.0,northern Algeria
1492385,36.745,3.714,10.0,northern Algeria
1492439,36.85,3.683,10.0,northern Algeria
1492440,36.95,3.723,10.0,northern Algeria
1492444,36.817,3.36,10.0,northern Algeria
1492448,36.51,3.519,10.0,northern Algeria
1492449,36.698,3.361,10.0,northern Algeria
1492456,36.843,3.364,10.0,northern Algeria
1492488,36.677,3.574,10.0,northern Algeria
1492522,36.955,3.675,10.0,northern Algeria
1492529,36.863,3.902,10.0,northern Algeria
1492629,36.773,3.808,10.0,northern Algeria
1492691,36.665,3.83,10.0,northern Algeria
1492703,36.932,3.624,10.0,northern Algeria
1492718,36.908,4.2010000000000005,10.0,northern Algeria
1492721,36.852,3.5860000000000003,10.0,northern Algeria
1492772,36.821,3.157,10.0,northern Algeria
1492794,36.874,3.872,10.0,northern Algeria
1492820,36.856,3.744,10.0,northern Algeria
1492905,36.789,3.645,10.0,northern Algeria
1492917,36.847,3.5780000000000003,10.0,northern Algeria
1492921,36.893,3.905,10.0,northern Algeria
1492957,36.709,3.649,10.0,northern Algeria
1492962,36.9,4.172,10.0,northern Algeria
1492965,36.777,3.83,10.0,northern Algeria
1492973,36.788,3.722,10.0,northern Algeria
1492980,36.907,3.729,10.0,northern Algeria
1493028,36.919,3.759,10.0,northern Algeria
1493038,36.747,3.614,10.0,northern Algeria
1493057,36.87300000000001,3.624,10.0,northern Algeria
1493061,36.851,3.756,10.0,northern Algeria
1493089,36.93,3.95,10.0,northern Algeria
1493112,36.965,3.803,10.0,northern Algeria
1493123,36.855,3.678,10.0,northern Algeria
1493125,36.802,3.655,10.0,northern Algeria
1493142,36.905,4.215,10.0,northern Algeria
1493145,36.732,4.319,10.0,northern Algeria
1493149,36.767,3.35,10.0,northern Algeria
1493152,36.842,4.186,10.0,northern Algeria
1493195,36.969,4.006,10.0,northern Algeria
1493206,36.891,3.347,10.0,northern Algeria
1493211,36.809,4.087,10.0,northern Algeria
1493229,36.628,3.681,10.0,northern Algeria
1493247,36.779,3.427,10.0,northern Algeria
1493265,36.86,4.0280000000000005,10.0,northern Algeria
1493271,36.982,4.163,10.0,northern Algeria
1493323,36.984,3.661,10.0,northern Algeria
1493400,36.801,3.514,10.0,northern Algeria
1493419,36.598,3.728,10.0,northern Algeria
1493429,36.762,3.61,10.0,northern Algeria
1493477,36.731,3.989,10.0,northern Algeria
1493482,36.772,3.813,10.0,northern Algeria
1493543,36.819,3.468,10.0,northern Algeria
1493664,36.686,3.836,10.0,northern Algeria
1493709,36.82,4.039,10.0,northern Algeria
1493717,36.841,3.46,10.0,northern Algeria
1493725,36.795,3.934,10.0,northern Algeria
1493926,36.716,3.932,10.0,northern Algeria
1493998,36.89,4.123,10.0,northern Algeria
1494108,36.587,3.477,10.0,northern Algeria
1494223,36.823,4.1789999999999985,10.0,northern Algeria
1494515,36.659,3.51,10.0,northern Algeria
1494527,36.91,3.755,10.0,northern Algeria
1494532,36.923,4.18,10.0,northern Algeria
1494720,36.893,3.75,10.0,northern Algeria
1494746,36.924,4.021,10.0,northern Algeria
1494862,36.933,3.494,10.0,northern Algeria
1495033,36.347,5.6179999999999986,10.0,northern Algeria
1495035,36.86,3.921,10.0,northern Algeria
1495099,36.821,4.224,10.0,northern Algeria
1495143,36.733,3.702,10.0,northern Algeria
1495250,36.794,3.625,10.0,northern Algeria
1495253,36.753,3.957,10.0,northern Algeria
1495258,36.792,3.842,10.0,northern Algeria
1495305,36.808,3.728,10.0,northern Algeria
1495486,36.936,3.235,10.0,northern Algeria
1495520,36.839,4.24,10.0,northern Algeria
1495797,36.782,4.038,10.0,northern Algeria
1496025,36.986,3.779,10.0,northern Algeria
1496079,36.591,3.508,10.0,northern Algeria
1496081,36.871,3.4360000000000004,10.0,northern Algeria
1496100,36.734,3.46,10.0,northern Algeria
1496735,36.969,3.373,10.0,northern Algeria
1496827,36.742,3.437,10.0,northern Algeria
1496940,36.713,3.442,10.0,northern Algeria
1497260,36.684,3.46,10.0,northern Algeria
1497282,36.977,3.349,10.0,northern Algeria
1497375,36.977,4.045,10.0,northern Algeria
1497762,36.84,4.087,10.0,northern Algeria
1497793,36.727,3.881,10.0,northern Algeria
1497958,36.919,3.55,10.0,northern Algeria
1498519,36.705,3.753,10.0,northern Algeria
1498775,36.832,3.594,10.0,northern Algeria
1498856,36.793,4.047,10.0,northern Algeria
1498945,36.893,3.716,10.0,northern Algeria
1499085,36.879,3.914,10.0,northern Algeria
1499922,36.971,3.262,10.0,northern Algeria
1499936,36.969,4.009,10.0,northern Algeria
1500072,36.655,3.544,10.0,northern Algeria
1500539,36.659,3.535,10.0,northern Algeria
1500672,36.933,3.57,10.0,northern Algeria
1500792,36.158,0.423,10.0,northern Algeria
1500937,36.93,3.993,10.0,northern Algeria
1501139,35.494,0.295,10.0,northern Algeria
1501314,36.849,3.365,10.0,northern Algeria
1502006,36.913,3.651,10.0,northern Algeria
1502009,36.999,3.694,10.0,northern Algeria
1502354,36.871,3.904,10.0,northern Algeria
1502356,36.793,3.996,10.0,northern Algeria
1502415,36.834,4.09,10.0,northern Algeria
1502419,36.807,3.653,10.0,northern Algeria
1502612,36.767,3.5010000000000003,10.0,northern Algeria
1502626,36.909,4.0310000000000015,10.0,northern Algeria
1502677,36.858,3.524,10.0,northern Algeria
1502711,36.62300000000001,3.714,10.0,northern Algeria
1503607,36.747,3.74,10.0,northern Algeria
1503623,36.835,3.714,10.0,northern Algeria
1504698,36.746,3.529,10.0,northern Algeria
1505216,35.601,-0.121,0.0,northern Algeria
1505403,36.524,3.5380000000000003,10.0,northern Algeria
1506236,36.924,3.525,10.0,northern Algeria
1507042,36.835,3.738,10.0,northern Algeria
1507388,36.851,3.732,10.0,northern Algeria
1507763,36.026,4.537,10.0,northern Algeria
1507782,36.46,1.73,10.0,northern Algeria
1508909,35.935,1.887,10.0,northern Algeria
1509068,36.545,3.617,10.0,northern Algeria
1509079,36.485,3.728,10.0,northern Algeria
1509151,36.981,3.753,10.0,northern Algeria
1509166,36.837,3.3110000000000004,10.0,northern Algeria
1509974,36.994,3.889,10.0,northern Algeria
1510007,36.918,3.901,10.0,northern Algeria
1510118,36.928,3.945,10.0,northern Algeria
1510840,36.883,3.656,10.0,northern Algeria
1511236,36.672,3.56,10.0,northern Algeria
1512110,36.582,4.718,10.0,northern Algeria
1512116,36.777,3.669,10.0,northern Algeria
1512171,36.799,3.675,10.0,northern Algeria
1512191,35.507,1.561,10.0,northern Algeria
1512367,36.894,3.383,10.0,northern Algeria
1512572,36.954,3.661,10.0,northern Algeria
1515293,35.847,-0.332,10.0,northern Algeria
1516353,36.881,3.874,10.0,northern Algeria
1516663,36.129,1.821,10.0,northern Algeria
1517105,36.919,3.879,10.0,northern Algeria
1517213,36.817,3.703,10.0,northern Algeria
1517240,36.807,3.753,10.0,northern Algeria
1518381,36.69300000000001,3.604,10.0,northern Algeria
1520343,36.679,3.796,10.0,northern Algeria
1520610,36.699,3.826,10.0,northern Algeria
1521470,36.787,7.241,10.0,northern Algeria
1522346,36.855,3.714,10.0,northern Algeria
1524270,36.948,3.695,10.0,northern Algeria
1525235,36.736,3.633,10.0,northern Algeria
1526396,36.74800000000001,3.584,10.0,northern Algeria
1527242,36.802,4.109,10.0,northern Algeria
1527429,36.991,3.208,10.0,northern Algeria
1527505,36.99800000000001,3.484,10.0,northern Algeria
1527615,36.499,3.707,10.0,northern Algeria
1527722,36.857,3.73,10.0,northern Algeria
1527873,36.856,3.728,10.0,northern Algeria
1527948,36.731,3.587,10.0,northern Algeria
1528416,36.45,3.63,10.0,northern Algeria
1528909,36.044,0.27,10.0,northern Algeria
1529239,36.764,3.398,10.0,northern Algeria
1529921,35.436,-0.94,10.0,northern Algeria
1529927,35.48,-0.922,10.0,northern Algeria
1530414,35.22400000000001,-1.873,17.4,northern Algeria
1534237,36.858,3.672,10.0,northern Algeria
1534436,36.954,3.403,10.0,northern Algeria
1534513,36.92,3.277,10.0,northern Algeria
1535009,36.74,3.5380000000000003,10.0,northern Algeria
1535066,36.816,3.668,10.0,northern Algeria
1536439,36.582,2.75,10.0,northern Algeria
1538240,36.784,3.836,10.0,northern Algeria
1538367,36.81800000000001,3.944,10.0,northern Algeria
1538621,36.241,2.21,10.0,northern Algeria
1541554,36.213,4.85,10.0,northern Algeria
1543162,36.219,3.099,10.0,northern Algeria
1543230,36.672,4.166,10.0,northern Algeria
1543461,36.975,3.72,10.0,northern Algeria
1543563,36.981,3.75,10.0,northern Algeria
1545789,35.718,2.224,10.0,northern Algeria
1550958,36.34,1.659,10.0,northern Algeria
1552513,35.671,-1.346,14.1,northern Algeria
1553169,36.169,0.995,10.0,northern Algeria
1553750,36.852,3.418,10.0,northern Algeria
1553761,36.985,3.4730000000000003,10.0,northern Algeria
1553923,36.89,3.593,10.0,northern Algeria
1554002,35.56800000000001,-1.354,0.0,northern Algeria
1554214,36.966,3.233,20.0,northern Algeria
1556445,36.863,3.849,10.0,northern Algeria
1558244,36.971,1.121,0.0,northern Algeria
1558494,36.767,3.5860000000000003,10.0,northern Algeria
1559340,36.91,4.0310000000000015,10.0,northern Algeria
1559607,36.507,3.834,10.0,northern Algeria
1559938,36.858,3.623,10.0,northern Algeria
1561068,35.313,-0.032,10.0,northern Algeria
1562895,35.172,5.0710000000000015,10.0,northern Algeria
1564065,36.845,3.749,10.0,northern Algeria
1566020,36.833,3.686,10.0,northern Algeria
1566160,35.39,-1.964,0.0,northern Algeria
1569977,35.905,-1.398,0.0,northern Algeria
1571413,36.921,1.167,0.0,northern Algeria
1571967,36.407,3.374,10.0,northern Algeria
1580114,36.492,7.641,10.0,northern Algeria
1580227,35.455,0.6729999999999999,0.0,northern Algeria
1580738,35.567,0.36,10.0,northern Algeria
1582182,36.597,6.279,10.0,northern Algeria
1583124,36.48,7.234,10.0,northern Algeria
1586705,35.507,0.413,10.0,northern Algeria
1590179,35.61,0.421,0.0,northern Algeria
1590656,35.771,5.977,10.0,northern Algeria
1593981,36.22,6.506,10.0,northern Algeria
1596760,36.408,7.122000000000001,10.0,northern Algeria
1597677,36.117,0.941,0.0,northern Algeria
1597993,34.092,2.213,10.0,northern Algeria
1601592,36.124,2.795,10.0,northern Algeria
1601968,36.804,3.268,10.0,northern Algeria
1602682,36.741,3.319,10.0,northern Algeria
1603430,35.221,-0.984,10.0,northern Algeria
1604541,36.505,4.475,10.0,northern Algeria
1604709,36.634,1.579,0.0,northern Algeria
1605266,36.458,3.5410000000000004,10.0,northern Algeria
1606009,36.938,4.12,10.0,northern Algeria
1609290,36.197,3.869,10.0,northern Algeria
1609408,36.655,3.663,0.0,northern Algeria
1610294,36.086,1.37,0.0,northern Algeria
1619396,35.672,2.172,10.0,northern Algeria
1622868,36.616,3.055,10.0,northern Algeria
1625806,36.677,3.109,0.0,northern Algeria
1626602,36.67,2.363,0.0,northern Algeria
1627594,36.635,3.168,0.0,northern Algeria
1631449,36.729,3.145,0.0,northern Algeria
1645897,36.26,3.844,0.0,northern Algeria
1651581,36.88,3.935,10.0,northern Algeria
1655763,35.559,-0.5429999999999999,0.0,northern Algeria
1656264,36.23,3.09,10.0,northern Algeria
1657556,36.848,3.448,10.0,northern Algeria
1658812,36.865,3.4210000000000003,10.0,northern Algeria
1661310,36.691,3.178,0.0,northern Algeria
1661711,36.711,4.211,10.0,northern Algeria
1663782,36.95,2.963,0.0,northern Algeria
1666613,35.728,0.51,10.0,northern Algeria
1670737,36.398,1.508,0.0,northern Algeria
1681392,36.786,2.476,0.0,northern Algeria
1685762,36.551,4.796,0.0,northern Algeria
1688007,35.22,5.615,10.0,northern Algeria
1688430,35.802,-0.23,0.0,northern Algeria
1689398,36.724,2.402,0.0,northern Algeria
1689835,36.984,3.531,0.0,northern Algeria
1690811,35.86400000000001,-0.563,25.0,northern Algeria
1691278,36.7,5.21,6.6,northern Algeria
1694540,36.716,3.149,0.0,northern Algeria
1695107,36.607,2.887,7.2,northern Algeria
1695764,35.771,-1.331,0.0,northern Algeria
1696899,35.582,-0.14800000000000002,23.3,northern Algeria
1700678,35.649,-0.254,0.0,northern Algeria
1701862,35.626,-0.297,6.0,northern Algeria
1702847,36.769,3.3960000000000004,10.0,northern Algeria
1705103,36.486,3.1060000000000003,10.0,northern Algeria
1706182,36.662,4.537,10.0,northern Algeria
1707521,36.944,3.516,10.0,northern Algeria
1708765,36.866,3.633,10.0,northern Algeria
1708864,36.907,4.291,10.0,northern Algeria
1709054,36.212,6.69,10.0,northern Algeria
1709202,36.195,1.661,0.0,northern Algeria
1710636,36.49,6.211,10.0,northern Algeria
1711208,36.166,6.34,10.0,northern Algeria
1711487,35.379,-1.181,19.0,northern Algeria
1712648,36.794,3.407,10.0,northern Algeria
1712715,35.968,5.515,10.0,northern Algeria
1714163,36.518,6.165,10.0,northern Algeria
1715350,36.819,3.429,10.0,northern Algeria
1715389,36.524,5.5,10.0,northern Algeria
1717308,36.636,5.062,10.0,northern Algeria
1718071,35.705,-1.411,10.0,northern Algeria
1718532,36.811,3.509,10.0,northern Algeria
1720472,36.481,5.294,10.0,northern Algeria
1720538,36.421,5.532,10.0,northern Algeria
1721754,36.582,1.525,10.0,northern Algeria
1722769,36.535,5.394,10.0,northern Algeria
1723176,35.635,1.137,14.1,northern Algeria
1723879,36.503,1.6780000000000002,10.0,northern Algeria
1725203,36.831,3.447,10.0,northern Algeria
1726213,36.958,3.788,10.0,northern Algeria
1726710,35.397,-0.89,0.0,northern Algeria
1726712,35.666,-0.997,0.0,northern Algeria
1726756,35.714,-0.7170000000000001,0.0,northern Algeria
1729079,36.008,1.101,0.0,northern Algeria
1730637,35.68199999999999,-1.085,23.4,northern Algeria
1730819,36.867,0.667,10.0,northern Algeria
1730820,36.878,0.6990000000000001,10.0,northern Algeria
1730925,36.854,2.108,0.0,northern Algeria
1731521,35.37,-1.431,0.0,northern Algeria
1731932,35.406,5.767,0.0,northern Algeria
1733910,35.552,0.166,16.5,northern Algeria
1733928,35.66,0.235,14.8,northern Algeria
1733932,35.714,0.127,5.9,northern Algeria
1734758,36.233,3.037,15.0,northern Algeria
1736410,35.746,-1.095,0.0,northern Algeria
1736873,36.328,1.727,10.0,northern Algeria
1739161,35.382,0.313,10.0,northern Algeria
1739344,35.181,-0.004,10.0,northern Algeria
1744952,36.872,3.623,5.0,northern Algeria
1745553,36.549,2.623,0.0,northern Algeria
1745603,36.598,5.277,10.0,northern Algeria
1749301,36.251,0.398,0.0,northern Algeria
1750494,35.979,-0.397,0.0,northern Algeria
1751730,36.531,6.101,10.0,northern Algeria
1755163,35.964,6.478,0.0,northern Algeria
1759823,36.38,1.832,10.0,northern Algeria
1760297,36.585,2.124,24.5,northern Algeria
1760835,36.198,6.699,10.0,northern Algeria
1761023,36.199,6.6629999999999985,10.0,northern Algeria
1761775,36.44,2.497,10.0,northern Algeria
1761864,35.894,2.239,0.0,northern Algeria
1762213,36.226,6.649,10.0,northern Algeria
1764020,36.232,2.309,25.8,northern Algeria
1765033,36.841,3.649,10.0,northern Algeria
1765408,36.025,1.916,10.0,northern Algeria
1765419,36.525,5.2970000000000015,20.0,northern Algeria
1765724,34.919000000000004,6.8020000000000005,10.0,northern Algeria
1766020,36.608,4.285,10.0,northern Algeria
1766117,36.604,4.302,10.0,northern Algeria
1766216,36.777,3.03,5.0,northern Algeria
1766350,36.572,4.3180000000000005,10.0,northern Algeria
1766400,36.99800000000001,3.853,10.0,northern Algeria
1769634,35.73900000000001,-0.918,0.0,northern Algeria
1769695,36.791,4.2330000000000005,10.0,northern Algeria
1771033,36.589,3.158,0.0,northern Algeria
1771725,36.789,3.402,0.0,northern Algeria
1772229,36.668,3.11,0.0,northern Algeria
1772403,36.313,6.2879999999999985,10.0,northern Algeria
1775370,36.833,4.224,2.6,northern Algeria
1776244,36.704,7.015,0.0,northern Algeria
1778545,35.51300000000001,-0.628,0.0,northern Algeria
1778902,36.564,4.017,10.0,northern Algeria
1779433,36.555,5.497000000000001,10.0,northern Algeria
1780225,36.793,3.455,10.0,northern Algeria
1780867,36.593,6.194,10.0,northern Algeria
1780991,35.805,5.221,10.0,northern Algeria
1780992,36.992,3.611,0.0,northern Algeria
1784398,36.956,3.38,0.0,northern Algeria
1785049,36.791,3.479,0.0,northern Algeria
1793881,36.62300000000001,5.3279999999999985,10.0,northern Algeria
1793885,36.752,5.51,10.0,northern Algeria
1794216,36.93,5.377000000000002,0.0,northern Algeria
1794304,36.928,5.3889999999999985,0.0,northern Algeria
1795527,36.687,5.28,0.0,northern Algeria
1795601,36.569,5.566,10.0,northern Algeria
1796452,36.967,3.293,0.0,northern Algeria
1796769,36.855,5.516,0.0,northern Algeria
1797138,34.893,3.807,10.0,northern Algeria
1799986,36.508,4.6160000000000005,0.0,northern Algeria
1802997,36.895,5.276,0.0,northern Algeria
1803013,36.792,5.396,0.0,northern Algeria
1804183,36.44,6.44,2.0,northern Algeria
1805808,36.384,3.395,0.0,northern Algeria
1805929,36.717,2.469,0.0,northern Algeria
1806335,35.07,3.856,0.0,northern Algeria
1806414,36.477,1.591,0.0,northern Algeria
1807288,36.562,1.6880000000000002,0.0,northern Algeria
1810483,36.741,5.405,0.0,northern Algeria
1813079,36.726,5.533,10.0,northern Algeria
1816405,36.174,1.714,10.0,northern Algeria
1817020,36.625,2.574,0.0,northern Algeria
1821206,36.369,1.091,0.0,northern Algeria
1822505,36.706,2.41,7.9,northern Algeria
1823683,35.91900000000001,5.581,0.0,northern Algeria
1823843,36.699,3.945,0.0,northern Algeria
1825169,36.91,4.487,0.0,northern Algeria
1829015,33.792,7.803,0.0,northern Algeria
1830802,36.526,5.7120000000000015,10.0,northern Algeria
1831821,36.717,3.11,10.0,northern Algeria
1832026,36.385,1.737,16.0,northern Algeria
1832217,35.833,0.615,22.3,northern Algeria
1832246,35.55,0.741,10.0,northern Algeria
1832253,35.753,0.64,10.0,northern Algeria
1832535,36.448,1.815,0.0,northern Algeria
1835805,34.843,3.799,10.0,northern Algeria
1837997,35.504,-1.3219999999999998,0.0,northern Algeria
1838617,36.899,2.834,4.3,northern Algeria
1840664,36.667,5.432,10.0,northern Algeria
1841138,36.839,5.367000000000001,0.0,northern Algeria
1841237,36.884,5.2,0.0,northern Algeria
1841865,34.878,3.766,10.0,northern Algeria
1849152,36.882,5.2860000000000005,0.0,northern Algeria
1852041,36.843,4.319,10.0,northern Algeria
1855756,35.67,1.2819999999999998,10.0,northern Algeria
1858079,35.304,1.636,10.0,northern Algeria
1864908,36.769,4.607,0.0,northern Algeria
1868796,35.277,-1.37,25.0,northern Algeria
1869975,36.672,3.024,0.0,northern Algeria
1870201,36.642,1.398,0.0,northern Algeria
1870732,36.374,1.032,17.4,northern Algeria
1871411,36.947,2.199,0.0,northern Algeria
1873614,34.744,3.334,10.0,northern Algeria
1873792,36.3,1.641,30.5,northern Algeria
1874007,35.172,3.2880000000000003,0.0,northern Algeria
1874673,35.76,-1.103,0.0,northern Algeria
1875433,35.35,3.304,10.0,northern Algeria
1875521,36.58,5.409,10.0,northern Algeria
1876022,36.706,3.048,0.0,northern Algeria
1876792,36.648,2.647,0.0,northern Algeria
1878087,36.336,2.503,10.0,northern Algeria
1878741,36.076,2.474,0.0,northern Algeria
1883566,36.642,3.128,0.0,northern Algeria
1883834,36.362,5.017,10.0,northern Algeria
1883926,35.783,0.556,0.0,northern Algeria
1884446,36.584,1.57,0.0,northern Algeria
1884688,35.636,1.371,10.0,northern Algeria
1885297,36.632,2.492,0.0,northern Algeria
1885572,36.938,2.112,0.0,northern Algeria
1886927,35.836,-1.713,0.0,northern Algeria
1894254,35.797,0.35100000000000003,0.0,northern Algeria
1897111,36.053,1.226,0.0,northern Algeria
1899981,36.634,1.577,0.0,northern Algeria
1903874,36.311,1.545,0.0,northern Algeria
1905131,36.12300000000001,2.61,3.5,northern Algeria
1906084,36.153,2.7230000000000003,0.0,northern Algeria
1906422,36.222,2.5780000000000003,0.0,northern Algeria
1906876,36.382,1.712,17.0,northern Algeria
1907170,36.162,2.877,0.0,northern Algeria
1908233,35.461,5.771,0.0,northern Algeria
1909938,36.155,2.597,0.0,northern Algeria
1911352,36.587,4.767,10.0,northern Algeria
1911888,36.317,4.043,0.0,northern Algeria
1912739,35.79400000000001,4.238,0.0,northern Algeria
1912756,35.684,0.342,0.0,northern Algeria
1913229,36.603,3.91,10.0,northern Algeria
1916389,35.704,-0.8690000000000001,10.0,northern Algeria
1917462,36.564,5.393,29.1,northern Algeria
1920272,35.492,-1.265,0.0,northern Algeria
1920718,34.091,7.042999999999998,10.0,northern Algeria
1922664,36.55,1.461,0.0,northern Algeria
1922970,35.398,-0.108,11.0,northern Algeria
1925569,36.306,1.646,0.0,northern Algeria
1926612,34.912,5.657,6.3,northern Algeria
1926843,35.23,6.908,10.0,northern Algeria
1927930,36.316,1.393,0.0,northern Algeria
1928500,35.922,0.063,10.0,northern Algeria
1932286,36.073,2.685,10.0,northern Algeria
1932363,36.26300000000001,2.6060000000000003,0.0,northern Algeria
1932599,36.034,2.623,12.3,northern Algeria
1932617,36.602,2.44,0.0,northern Algeria
1932659,36.116,2.654,0.0,northern Algeria
1933509,36.284,2.593,0.0,northern Algeria
1933775,35.87699999999999,2.81,10.0,northern Algeria
1934004,36.044,2.707,0.0,northern Algeria
1935926,36.065,2.696,7.8,northern Algeria
1937073,36.695,1.399,25.8,northern Algeria
1937526,36.188,1.347,0.0,northern Algeria
1938937,36.529,5.4060000000000015,15.0,northern Algeria
1942581,36.473,1.568,10.0,northern Algeria
1943016,36.655,4.577,0.0,northern Algeria
1946497,35.721,2.146,10.0,northern Algeria
1947200,35.875,-0.77,0.0,northern Algeria
1949458,36.782,5.555,0.0,northern Algeria
1950718,36.054,2.196,20.0,northern Algeria
1952284,35.25,6.437,0.0,northern Algeria
1953403,36.211,1.665,10.0,northern Algeria
1953417,36.349,1.653,0.0,northern Algeria
1955523,36.176,1.268,0.0,northern Algeria
1956290,35.628,-1.4780000000000002,0.0,northern Algeria
1957265,36.721,5.481,10.0,northern Algeria
1959575,36.711,6.3039999999999985,0.0,northern Algeria
1959932,36.439,1.529,0.0,northern Algeria
1962250,35.622,-0.502,0.0,northern Algeria
1964147,36.37300000000001,1.804,16.3,northern Algeria
1965708,35.719,2.0580000000000003,10.0,northern Algeria
1966280,35.414,-0.111,0.0,northern Algeria
1967503,36.706,3.178,0.0,northern Algeria
1968611,35.575,1.39,10.0,northern Algeria
1968807,35.616,-0.57,10.0,northern Algeria
1968838,35.576,-0.524,0.0,northern Algeria
1968839,35.341,-0.341,27.9,northern Algeria
1968897,35.711,-0.595,0.0,northern Algeria
1969398,35.927,4.258,10.0,northern Algeria
1970441,36.692,5.287000000000001,0.0,northern Algeria
1971642,35.691,1.3259999999999998,10.0,northern Algeria
1972212,35.833,2.307,0.0,northern Algeria
1974516,36.825,3.4730000000000003,10.0,northern Algeria
1974943,36.893,3.66,10.0,northern Algeria
1975385,36.772,1.024,0.0,northern Algeria
1976548,35.969,2.217,0.0,northern Algeria
1978230,36.257,1.5830000000000002,0.0,northern Algeria
1979168,36.863,2.274,0.0,northern Algeria
1979188,36.639,2.289,10.0,northern Algeria
1979627,35.889,-1.954,0.0,northern Algeria
1980207,35.52,0.575,0.0,northern Algeria
1985307,36.551,1.579,0.0,northern Algeria
1985668,35.819,0.312,2.0,northern Algeria
1988483,36.333,5.141,0.0,northern Algeria
1989693,36.91,3.488,9.8,northern Algeria
1989853,36.591,1.664,0.0,northern Algeria
1990494,36.468,3.17,0.0,northern Algeria
1993927,36.946,2.352,0.0,northern Algeria
1997426,36.522,1.702,0.0,northern Algeria
2001514,35.797,0.57,0.0,northern Algeria
2007498,35.904,-0.071,0.0,northern Algeria
