id,time,latitude,longitude,depth,place,place_exact,exact_place_ar,exact_place_fr
240,1994-04-28T02:11:08.590Z,36.473,3.524,10.0,northern Algeria,Bouira ⵜⵓⴱⵉⵔⴻⵜ البويرة, البويرة,Bouira 
241,1994-05-08T17:24:56.220Z,36.56,3.263,10.0,northern Algeria,Blida ⴱⵍⵉⴷⴰ البليدة, البليدة,Blida 
242,1994-05-08T18:19:33.270Z,36.613,3.28,10.0,northern Algeria,Boumerdès ⴱⵓⵎⴻⵔⴷⴰⵙ بومرداس, بومرداس,Boumerdès 
243,1994-05-13T17:58:32.500Z,35.687,-0.944,10.9,northern Algeria,Oran ⵡⴻⵀⵔⴰⵏ وهران, وهران,Oran 
244,1994-06-20T15:56:56.850Z,36.921,2.443,10.0,northern Algeria,algeria,,algeria
245,1994-08-18T01:13:05.780Z,35.52,-0.106,8.7,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
246,1994-08-18T01:42:48.610Z,35.536,-0.112,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
247,1994-08-18T01:58:23.500Z,35.532,-0.16,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
248,1994-08-18T02:23:45.170Z,35.451,-0.097,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
249,1994-08-18T03:23:48.430Z,35.908,-0.634,10.0,northern Algeria,algeria,,algeria
250,1994-08-18T05:00:53.870Z,35.52,-0.115,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
251,1994-08-18T08:18:17.810Z,35.477,-0.141,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
252,1994-08-18T09:13:43.410Z,35.691,-0.606,10.0,northern Algeria,Oran ⵡⴻⵀⵔⴰⵏ وهران, وهران,Oran 
253,1994-08-18T09:37:03.740Z,35.41900000000001,-0.078,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
254,1994-08-18T17:01:26.490Z,35.706,-0.272,10.0,northern Algeria,Oran ⵡⴻⵀⵔⴰⵏ وهران, وهران,Oran 
255,1994-08-19T11:37:45.690Z,35.759,-0.193,10.0,northern Algeria,Oran ⵡⴻⵀⵔⴰⵏ وهران, وهران,Oran 
256,1994-08-20T07:58:47.280Z,35.615,-0.184,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
257,1994-08-21T12:54:28.690Z,35.671,-0.166,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
258,1994-08-21T13:44:50.060Z,35.423,-0.157,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
259,1994-08-22T06:03:36.620Z,35.637,-0.008,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
260,1994-08-23T09:16:31.540Z,35.728,-0.242,10.0,northern Algeria,Oran ⵡⴻⵀⵔⴰⵏ وهران, وهران,Oran 
261,1994-08-28T04:08:09.500Z,36.065,4.249,10.0,northern Algeria,Bordj Bou Arreridj ⴱⵓⵔⴵ ⴱⵓ ⵄⵔⵉⵔⵉⴵ برج بوعريريج, برج بوعريريج,Bordj Bou Arreridj 
262,1994-08-28T06:27:55.770Z,35.58,-0.129,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
263,1994-08-28T18:39:47.390Z,35.761,-0.274,10.0,northern Algeria,Oran ⵡⴻⵀⵔⴰⵏ وهران, وهران,Oran 
264,1994-08-29T14:06:40.590Z,35.664,-0.488,10.0,northern Algeria,Oran ⵡⴻⵀⵔⴰⵏ وهران, وهران,Oran 
265,1994-09-19T23:24:23.910Z,35.532,-0.202,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
266,1994-09-24T08:57:17.980Z,35.648,-0.513,10.0,northern Algeria,Oran ⵡⴻⵀⵔⴰⵏ وهران, وهران,Oran 
267,1994-09-26T17:33:54.380Z,35.577,-1.002,10.0,northern Algeria,Aïn Témouchent ⵄⵉⵏ ⵜⵉⵎⵓⵛⴻⵏⵜ عين تموشنت, عين تموشنت,Aïn Témouchent 
268,1994-09-27T21:27:58.310Z,35.336,-0.017,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
